id,nombre
1,"(SME US Latin) Duars Entertainment, Corp. (2)"
2,©️ Ⓟ 2022 Sur Capital Records ™️ ( por Tierra Agencia SRL )
3,"2019 UMS Music & Dynamic Records | Distributed by GLAD Empire, LLC"
4,"2020 One World Music & Casablanca Records | Powered by GLAD Empire, LL"
5,"2020 Real Hasta La Muerte, LLC"
6,473 Music
7,88rising Music
8,Afinarte Music
9,Al Millon Music
10,Alzada Corp
11,"Andaluz Music, LLC"
12,Andaluz Records
13,Anval Music
14,Ariola
15,Arthouse Records
16,Atlantic Records
17,Atlantic Records UK
18,Aura Music Corp.
19,"Azteca Records, LLC"
20,B1 Recordings
21,"Babilonia Music, S.A. De C.V."
22,Baby Records Inc
23,Banda Carnaval
24,BIGHIT MUSIC
25,BMG Publishing
26,Boba Records
27,BS Music
28,Caiman Music
29,Cali y El Dandee PS
30,Calibre
31,Capitol Latin
32,Chosen Few
33,Columbia
34,Craft Recordings
35,Cuatro Siete Tres Music
36,DALE PLAY Records
37,Darkroom
38,DEL Records
39,Desvelada Records
40,DIAM Music
41,Disa
42,"Duars Entertainment, Corp."
43,Dynamic Records
44,EL CLAN RECORDS
45,El Cocodrilo Solitario S. De R. L. De C.V.
46,El Jefe Records
47,Elegante Records
48,Elektra (NEK)
49,Eliminate Risk LLC
50,EMI
51,EMI Latin
52,EMI México
53,EMPIRE
54,En Tu Perra Vida
55,Epic
56,Eslabon Armado
57,Esteman
58,Favorito Musik
59,Flow La Movie
60,Fonovisa
61,Geffen
62,Genesis Records
63,"Gerencia 360 Music, Inc."
64,GodKing Records
65,Grupo 360
66,"Hecho A Mano Music, LLC"
67,HIA Ent.
68,Homegrown Entertainment
69,Hyphy Music
70,ILoveRibs!
71,Interscope Records
72,INZ Records
73,Island
74,Jenni Rivera Enterprises LLC
75,Jr Torres
76,Kartel Music
77,Kemosabe Records
78,Kevin Kaarl
79,KIDinaKORNER
80,King Records
81,La Base Music Group
82,La Empresa Music
83,La Factoria
84,la humildad de la musica norteña
85,La Industria
86,Lap Records Inc
87,LAR Music
88,LE Music
89,LEB Records
90,Linked Music
91,Lizos Music
92,Los Oidos Fresh
93,Los Proximos
94,Lumbre Music
95,"Manzana Records, Inc."
96,Marca MP
97,Master Q Music
98,MÉCÈN Ent.
99,Mercado Music
100,Ministry of Sound Recordings
101,Monsieur Perine
102,Musart-Balboa
103,Music VIP Entertainment Inc
104,Musica del Pueblo
105,N&E Entertainment LLC
106,Nabru Records LLC
107,Nacho
108,NEON16
109,NEUEN
110,Nice Life
111,OCESA Seitrack
112,One RPM
113,P NATION
114,Pachy
115,Pachy Music
116,Parlophone UK
117,Paulo Londra
118,Pepe Aguilar
119,Pina Records
120,PLATTENLABEL
121,Play Music
122,Prajin Parlay
123,Prajin Records
124,Premier Music Group
125,"Producciones Ladon, S.A de C.V."
126,Promotodo Mexico
127,Pure Nigga
128,Puro Grupo Firme Ent
129,Rancho Humilde
130,Rap Trap Records
131,RB Music
132,RCA Records
133,RCA Records Label
134,Realsongs
135,Rec. 118
136,REMEX MUSIC
137,Republic Records
138,Rich Music
139,Rich Vagos Entertainment
140,Rimas
141,Rimas Entertainment LLC
142,Rodezel
143,Room28
144,Roses and Wine Music
145,"Sahuaro Enterprise, Inc."
146,Santa RM
147,Secretto Music
148,Serca
149,Shawn Mendes LP4-5 PS
150,Shots Studios & Music
151,Somos Osos
152,Sony BMG Music Entertainment
153,Sony Music Entertainment
154,Sony Music Entertainment Chile S.A
155,Sony Music Entertainment Latin
156,Sony Music Group
157,Sony Music Labels Inc.
158,Sony Music Latin
159,Sony Music México
160,Sony Music Publishing
161,Sony Music UK
162,Sosa Mafia Records
163,Space Music
164,Standly
165,Streetmob Records
166,"Sueños Globales, LLC"
167,Sweet Jane Recordings
168,Tamarindo Recordsz
169,Tamarindo Rekordsz
170,"Thrive Music, LLC"
171,Torbellino Legacy Est 16
172,TUSA - Karol G & Nicki Minaj
173,"TuStream, LLC"
174,TWICE
175,TWIINS MUSIC GROUP
176,UMLE
177,UMLE - Fonovisa
178,UMLE - Latino
179,Un Millon De Primaveras
180,Universal Music Latino
181,Universal Music Mexico
182,Universal Music Spain S.L.
183,Vende Music
184,Vim Music
185,Virgin Music México
186,Viva Music Group
187,Walt Disney Records
188,Warner Chappell Music
189,Warner Records
190,WEA Latina
191,White World Music
192,WK Records
193,WM Chile
194,WM Mexico
195,WM South Africa
196,WM Spain
197,Worldwide Records
198,Worms Music
199,"XL Recordings, Sony Music Publishing"
200,YG Entertainment
201,Young Flex
202,Z Records