posicion,nom_cancion,nom_artista,disquera,reproducciones,ano
1,Ya Supérame (En Vivo),Grupo Firme,Music VIP Entertainment Inc,7306778,2021
2,A La Antigüita (En Vivo),Calibre 50,"Andaluz Music, LLC",5509365,2021
3,Hasta la Raíz,Natalia Lafourcade,RCA Records Label,4676869,2021
4,Pepas,Farruko,Sony Music Latin,4623999,2021
5,Yo Ya No Vuelvo Contigo (feat. Grupo Firme),Lenin Ramírez,DEL Records,4563192,2021
6,TE DESEO LO MEJOR,Bad Bunny,Rimas Entertainment LLC,4363301,2021
7,Botella Tras Botella,Gera Mx & Christian Nodal,Virgin Music México,4208542,2021
8,En Tu Perra Vida,Grupo Firme & Lenin Ramírez,En Tu Perra Vida,3796049,2021
9,Ya Acabó (En Vivo),Marca MP,Marca MP,3779648,2021
10,El Baile De Santa Clos,Grupo Exterminador,UMLE - Fonovisa,3587604,2021
11,Cada Quien,Grupo Firme & Maluma,Music VIP Entertainment Inc,3208967,2021
12,Hablando Claro (Live),Grupo Firme & Grupo Recluta,Music VIP Entertainment Inc,3190673,2021
13,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",LAR Music,3076442,2021
14,Yonaguni,Bad Bunny,Rimas Entertainment LLC,3042962,2021
15,Jugaste y Sufrí (feat. DannyLux),Eslabón Armado,DEL Records,3021473,2021
16,Me Metí En El Ruedo (En Vivo),Luis R Conriquez,Kartel Music,2989719,2021
17,Música Romántica,Pancho Barraza & Grupo Firme,Pachy / RB Music,2926018,2021
18,Se Le Ve,"Sech, Dalex, Rich Music, Ltd, Justin Quiles, Arcangel, De La Ghetto, Lenny Tavárez & Dimelo Flow",Rich Music,2830610,2021
19,Complicado,"Gera Mx, Jayrick & Ervin River",INZ Records,2766196,2021
20,Tranquilito (Remix),Gerardo Ortiz & Alemán,Sony Music Latin,2750492,2021
21,Se Fue La Pantera (En Vivo),Grupo Firme & Grupo Recluta,Music VIP Entertainment Inc,2646221,2021
22,Como Lo Hice Yo,Matisse & Carin Leon,Sony Music México,2645457,2021
23,Amnesia,La Santa Grifa,Vende Music,2456236,2021
24,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",Neon16,2439550,2021
25,Un Millon De Primaveras,Vicente Fernández,Un Millon De Primaveras,2412988,2021
26,Todo de Ti,Rauw Alejandro,Sony Music Latin/Duars Entertainment,2317147,2021
27,Enemy (feat. JID),Imagine Dragons,KIDinaKORNER/Interscope Records,2198463,2021
28,Aquel Nap ZzZz,Rauw Alejandro,Sony Music Latin/Duars Entertainment,2178821,2021
29,Descansando,Fuerza Regida,Rancho Humilde/ Lumbre Music,2163278,2021
30,Save Your Tears,The Weeknd,Republic Records,2151066,2021
31,A Mi Manera (En Vivo) [Un Azteca en el Azteca],Vicente Fernández,Columbia,2111910,2021
32,MONEY,LISA,YG Entertainment/Interscope Records,2030310,2021
33,Qué Más Pues?,J Balvin & Maria Becerra,"Sueños Globales, LLC",1992163,2021
34,El Buho (En Vivo),"El Fantasma, Los Dos Carnales, Alexander García, Imanol Quezada & Bruce Torrescano",Afinarte Music,1963359,2021
35,Mucho para Mí,Santa RM & Franco Escamilla,Santa RM,1956387,2021
36,Mon Amour (Remix),zzoilo & Aitana,Universal Music Spain S.L.,1950298,2021
37,Navidad Sin Ti,Los Bukis,"Fonovisa, Warner Chappell Music",1930343,2021
38,Poblado (Remix),"Crissin, J balvin & Natan & Shander","Universal Music Latino, Sony Music Publishing",1922050,2021
39,Grandes Ligas,"Lupillo Rivera, Alemán, Santa Fe Klan, Snoop Dogg & B-Real",Prajin Parlay / Z Records,1919507,2021
40,Todo Va a Estar Bien (feat. Big Soto & Neto Peña),Santa Fe Klan,473 Music,1895483,2021
41,Mi Cómplice,Cardenales de Nuevo León,Universal Music Mexico,1892644,2021
42,EL MAKINON,KAROL G & Mariah Angeliq,UMLE - Latino,1872579,2021
43,"Bzrp Music Sessions, Vol. 48",Bizarrap & Tiago PZK,WEA Latina/DALE PLAY Records,1833807,2021
44,Mi Última Caravana,Gerardo Díaz y su Gerarquía,Afinarte Music,1832882,2021
45,Sobrio,Maluma,Sony Music Latin,1823831,2021
46,Volví,Aventura & Bad Bunny,Rimas Entertainment LLC,1803224,2021
47,El Viejo del Sombrerón (feat. La morocha),La Sonora Dinamita,Universal Music Mexico,1776462,2021
48,Nadie Va A Pensar En Ti Mejor Que Yo,Conjunto Rienda Real,Elegante Records,1767575,2021
49,Ram Pam Pam,Natti Natasha & Becky G,"Sony Music Latin, Sony Music Publishing",1751012,2021
50,17 Años (Live) (feat. Jay de la Cueva),Los Ángeles Azules,Promotodo Mexico,1723568,2021
51,Mi Amor Por Ti,Grupo Firme & Edición Especial,Music VIP Entertainment,1692640,2021
52,Tacones Rojos,Sebastián Yatra,UMLE - Latino,1635966,2021
53,love nwantiti (ah ah ah) (feat. Joeboy & Kuami Eugene),CKay,WM South Africa,1634455,2021
54,El Amor Soñado,Grupo Firme,Puro Grupo Firme Ent,1618153,2021
55,Y Si Se Quiere Ir,Hijos de Barrón,Viva Music Group,1587089,2021
56,Cuidando El Territorio,Santa Fe Klan,BS Music,1544666,2021
57,Miénteme,TINI & Maria Becerra,Sony Music Latin,1534455,2021
58,Índigo,Camilo & Evaluna Montaner,Sony Music Latin,1497843,2021
59,La Chona,Los Tucanes de Tijuana,Master Q Music,1446610,2021
60,Medallo,"Blessd, Justin Quiles & Lenny Tavárez",WEA Latina,1438777,2021
61,Siempre Clave,T3R Elemento & Clave 702,DEL Records,1437224,2021
62,Híbrido,Virlán García,Sony Music México,1408988,2021
63,Me Vale Madre,Los Dos Carnales,Afinarte Music,1385885,2021
64,La Sinvergüenza,Christian Nodal & Banda MS de Sergio Lizárraga,"Producciones Ladon, S.A de C.V.",1363714,2021
65,Mr. Trance,Esteman,Esteman,1290059,2021
66,Las Locuras Mías (feat. Joey Montana),Omar Chaparro,"Azteca Records, LLC - Omar Chaparro / Fonovisa",1279073,2021
67,No Paras de Hacerme Feliz,La Fiera de Ojinaga,"Azteca Records, LLC",1269718,2021
68,Yo Quiero Quebrarte,Los Felinos,Musart-Balboa,1264206,2021
69,A Través Del Vaso,Banda Los Sebastianes,"Universal Music Mexico, Universal Music Publishing",1261336,2021
70,Mejor Sola,Kimberly Loaiza & Zion & Lennox,Space Music,1240431,2021
71,Tercera Noche (Live),Kenia Os,Lizos Music,1226336,2021
72,La Purga,Grupo 360,Grupo 360,1223994,2021
73,Quisiera Saber,Carin Leon,Tamarindo Rekordsz,1223590,2021
74,We Don't Talk About Bruno,"La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast",Walt Disney Records,1222490,2021
75,Descuide,Grupo Firme,Music VIP Entertainment,1221154,2021
76,Una Vaina Loca,"Fuego, Manuel Turizo & Duki",Chosen Few/ WK Records,1197194,2021
77,El Chino (En Vivo),Luis R Conriquez & La Décima Banda,Kartel Music,1183836,2021
78,Toxic (Live),BoyWithUke,Republic Records,1161546,2021
79,Medley Ranchero: Mi Talismán/No Entiendo/Hechizo (En Vivo),Ana Gabriel,Sony Music Latin,1143786,2021
80,Mariposa traicionera,Maná,WM Mexico,1137212,2021
81,Locked Out Of Heaven,Bruno Mars,Atlantic Records,1128565,2021
82,Hasta Que Te Conocí (En Vivo) [Desde el Instituto Nacional de Bellas Artes],Juan Gabriel,RCA Records Label,1127597,2021
83,Fuerte No Soy (Live),Intocable,Capitol Latin,1122402,2021
84,The Feels,TWICE,Republic Records - TWICE,1121433,2021
85,Navidad Sin Ti,Fuerza Regida,Rancho Humilde,1118013,2021
86,Rolling in the Deep,Adele,"XL Recordings, Sony Music Publishing",1117165,2021
87,OTRA VEZ,"Rodezel, Barça, JCBG, Jaime & Hasvik",Rodezel,1112951,2021
88,Por Tu Maldito Amor,Vicente Fernández,Columbia,1112416,2021
89,Cuando Yo Queria Ser Grande,Vicente Fernández,Sony Music Entertainment,1110957,2021
90,Aca Entre Nos,Vicente Fernández,Columbia,1102217,2021
91,DANCE CRIP,Trueno,©️ Ⓟ 2022 Sur Capital Records ™️ ( por Tierra Agencia SRL ),1090745,2021
92,La Santa,Bad Bunny & Daddy Yankee,Rimas Entertainment LLC,1082467,2021
93,Easy On Me,Adele,Columbia,1078041,2021
94,Hunter,Rauw Alejandro,Sony Music Latin/Duars Entertainment,1074554,2021
95,Es Que Me Gustas (En Vivo),Los 2 de la S,Lizos Music,1066054,2021
96,Mil Gracias Por Existir (feat. Grupo Firme),Marca MP,Marca MP,1061186,2021
97,Fumando Mota,Los Lara,Serca,1058810,2021
98,Frente a Frente,Rocío Dúrcal,RCA Records Label,1034818,2021
99,La Buena y la Mala,Banda Tierra Sagrada,REMEX MUSIC,1028583,2021
100,Cómo Te Voy A Olvidar,Los Ángeles Azules,Universal Music Mexico,1016350,2021